Plot,Yplant,Subplot,Line,Tree
34,1998,1,7,13
34,1998,1,7,12
34,1998,1,7,14
34,1998,1,6,12
34,1998,1,6,13
34,1998,1,6,14
34,1998,1,8,12
34,1998,1,8,13
34,1998,1,8,14
34,1998,2,5,13
34,1998,2,5,12
34,1998,2,5,14
34,1998,2,4,12
34,1998,2,4,13
34,1998,2,4,14
34,1998,2,6,12
34,1998,2,6,13
34,1998,2,6,14
34,1998,3,12,13
34,1998,3,12,12
34,1998,3,12,14
34,1998,3,11,12
34,1998,3,11,13
34,1998,3,11,14
34,1998,3,13,12
34,1998,3,13,13
34,1998,3,13,14
34,1998,4,15,3
34,1998,4,15,2
34,1998,4,15,4
34,1998,4,14,2
34,1998,4,14,3
34,1998,4,14,4
34,1998,4,16,2
34,1998,4,16,3
34,1998,4,16,4
34,1998,5,20,16
34,1998,5,20,15
34,1998,5,20,17
34,1998,5,19,15
34,1998,5,19,16
34,1998,5,19,17
34,1998,5,21,15
34,1998,5,21,16
34,1998,5,21,17
34,1998,6,13,18
34,1998,6,13,17
34,1998,6,13,19
34,1998,6,12,17
34,1998,6,12,18
34,1998,6,12,19
34,1998,6,14,17
34,1998,6,14,18
34,1998,6,14,19
50,2002,1,34,10
50,2002,1,34,9
50,2002,1,34,11
50,2002,1,33,9
50,2002,1,33,10
50,2002,1,33,11
50,2002,1,35,9
50,2002,1,35,10
50,2002,1,35,11
50,2002,2,31,11
50,2002,2,31,10
50,2002,2,31,12
50,2002,2,30,10
50,2002,2,30,11
50,2002,2,30,12
50,2002,2,32,10
50,2002,2,32,11
50,2002,2,32,12
50,2002,3,37,14
50,2002,3,37,13
50,2002,3,37,15
50,2002,3,36,13
50,2002,3,36,14
50,2002,3,36,15
50,2002,3,38,13
50,2002,3,38,14
50,2002,3,38,15
50,2002,4,33,7
50,2002,4,33,6
50,2002,4,33,8
50,2002,4,32,6
50,2002,4,32,7
50,2002,4,32,8
50,2002,4,34,6
50,2002,4,34,7
50,2002,4,34,8
50,2002,5,28,8
50,2002,5,28,7
50,2002,5,28,9
50,2002,5,27,7
50,2002,5,27,8
50,2002,5,27,9
50,2002,5,29,7
50,2002,5,29,8
50,2002,5,29,9
50,2002,6,26,6
50,2002,6,26,5
50,2002,6,26,7
50,2002,6,25,5
50,2002,6,25,6
50,2002,6,25,7
50,2002,6,27,5
50,2002,6,27,6
50,2002,6,27,7
52,1997,1,22,20
52,1997,1,22,19
52,1997,1,22,21
52,1997,1,21,19
52,1997,1,21,20
52,1997,1,21,21
