field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,,
050,4,1,2002,2022,1,0,0,,,
050,4,2,2002,2022,1,1,9,,,
050,4,3,2002,2022,1,0,0,,,
050,4,4,2002,2022,1,2,15,,,
050,4,5,2002,2022,1,2,23,,,
050,4,6,2002,2022,1,1,7,,,
050,4,7,2002,2022,1,3,36,,,
050,4,8,2002,2022,1,1,8,,,
050,4,9,2002,2022,1,2,22,,,
050,4,10,2002,2022,1,1,4,,,
050,4,11,2002,2022,1,0,0,,,
050,4,12,2002,2022,1,2,21,,,
050,4,13,2002,2022,1,2,18,,,
050,4,15,2002,2022,1,1,5,,,
050,4,16,2002,2022,1,3,35,,,
050,4,17,2002,2022,1,4,52,,,
050,4,19,2002,2022,1,1,1,,,
050,4,20,2002,2022,1,2,14,,,
050,4,21,2002,2022,1,4,50,,,
050,5,1,2002,2022,1,2,18,,,
050,5,2,2002,2022,1,1,5,,, 
050,5,3,2002,2022,1,2,14,,,
050,5,4,2002,2022,1,2,10,,,
050,5,5,2002,2022,1,1,3,,,
050,5,6,2002,2022,1,0,0,,,
050,5,7,2002,2022,1,1,7,,,
050,5,9,2002,2022,1,0,0,,,
050,5,10,2002,2022,1,1,3,,,
050,5,11,2002,2022,1,3,30,,,
050,5,12,2002,2022,1,2,21,,,
050,5,15,2002,2022,1,3,30,,,
050,5,16,2002,2022,1,3,30,,,
050,5,17,2002,2022,1,2,18,,,
050,5,18,2002,2022,1,1,1,,,
050,5,19,2002,2022,1,2,10,,,
050,5,20,2002,2022,1,1,1,,,
050,5,21,2002,2022,1,1,1,,,
050,5,22,2002,2022,1,4,57,,,
050,6,1,2002,2022,1,1,7,,,
050,6,2,2002,2022,1,1,4,,,
050,6,3,2002,2022,1,1,2,,,
050,6,4,2002,2022,1,2,14,,,
050,6,5,2002,2022,1,1,7,,,
050,6,7,2002,2022,1,2,13,,,
050,6,8,2002,2022,1,0,0,,,
050,6,9,2002,2022,1,1,5,,,
050,6,10,2002,2022,1,4,53,,,
050,6,12,2002,2022,1,2,11,,,
050,6,13,2002,2022,1,2,11,,,
050,6,15,2002,2022,1,0,0,,,
050,6,17,2002,2022,1,2,15,,,
050,6,18,2002,2022,1,2,10,,,
050,6,20,2002,2022,1,2,12,,,
050,7,1,2002,2022,1,0,0,,,
050,7,2,2002,2022,1,1,9,,,
050,7,3,2002,2022,1,2,11,,,
050,7,5,2002,2022,1,0,0,,,
050,7,6,2002,2022,1,0,0,,,
050,7,7,2002,2022,1,1,5,,,
050,7,8,2002,2022,1,1,3,,,
050,7,9,2002,2022,1,1,8,,,
050,7,12,2002,2022,1,0,0,,,
050,7,13,2002,2022,1,1,6,,,
050,7,14,2002,2022,1,1,4,,,
050,7,15,2002,2022,1,0,0,,,
050,7,17,2002,2022,1,1,2,,,
050,7,18,2002,2022,1,0,0,,,
050,7,19,2002,2022,1,0,0,,,
050,7,20,2002,2022,1,0,0,,,
050,7,21,2002,2022,1,0,0,,,
050,7,22,2002,2022,1,4,51,,,
050,8,1,2002,2022,1,2,26,,,
050,8,2,2002,2022,1,0,0,,,
050,8,4,2002,2022,1,0,0,,,
050,8,7,2002,2022,1,0,0,,,
050,8,9,2002,2022,1,0,0,,,
050,8,11,2002,2022,1,2,16,,,
050,8,12,2002,2022,1,1,1,,,
050,8,13,2002,2022,1,1,3,,,
050,8,15,2002,2022,1,3,38,,,
050,8,16,2002,2022,1,0,0,,,
050,8,19,2002,2022,1,0,0,,,
050,9,1,2002,2022,1,2,12,,,
050,9,2,2002,2022,1,1,4,,,
050,9,3,2002,2022,1,2,37,,,
050,9,4,2002,2022,1,1,6,,,
050,9,5,2002,2022,1,2,16,,,
050,9,6,2002,2022,1,0,0,,,
050,9,7,2002,2022,1,1,1,,,
050,9,8,2002,2022,1,0,0,,,
050,9,9,2002,2022,1,1,8,,,
050,9,11,2002,2022,1,1,9,,,
050,9,15,2002,2022,1,0,0,,,
050,9,16,2002,2022,1,0,0,,,
050,9,17,2002,2022,1,0,0,,,
050,9,18,2002,2022,1,2,13,,,
050,10,1,2002,2022,1,1,3,,,
050,10,2,2002,2022,1,2,12,,,
050,10,3,2002,2022,1,2,10,,,
050,10,4,2002,2022,1,2,25,,,
050,10,5,2002,2022,1,1,3,,,
050,10,6,2002,2022,1,2,18,,,
050,10,7,2002,2022,1,2,10,,,
050,10,8,2002,2022,1,0,0,,,
050,10,9,2002,2022,1,1,5,,,
050,10,10,2002,2022,1,0,0,,,
050,10,11,2002,2022,1,1,4,,,
050,10,12,2002,2022,1,0,0,,,
