field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,Sent_later?
052,1,1,1997,2022,6,0,0,,
052,1,2,1997,2022,6,0,0,,
052,1,3,1997,2022,6,0,0,,
052,1,4,1997,2022,6,0,0,,
052,1,5,1997,2022,6,0,0,,
052,1,6,1997,2022,6,0,0,,
052,1,8,1997,2022,6,0,0,,
052,1,9,1997,2022,6,1,2,,
052,1,10,1997,2022,6,0,0,,
052,1,11,1997,2022,6,2,30,,
052,1,12,1997,2022,6,1,4,,
052,1,13,1997,2022,6,1,7,,
052,1,14,1997,2022,6,0,0,,
052,1,15,1997,2022,6,2,10,,
052,1,17,1997,2022,6,0,0,,
052,1,18,1997,2022,6,0,0,,
052,1,19,1997,2022,6,0,0,,
052,1,20,1997,2022,6,2,22,,
052,1,21,1997,2022,6,0,0,,
052,1,22,1997,2022,6,1,1,,
052,1,23,1997,2022,6,1,5,,
052,1,24,1997,2022,6,1,2,,
052,1,25,1997,2022,6,1,3,,
052,1,26,1997,2022,6,0,0,,
052,2,1,1997,2022,6,0,0,,
052,2,2,1997,2022,6,0,0,,
052,2,3,1997,2022,6,0,0,,
052,2,4,1997,2022,6,1,4,,
052,2,5,1997,2022,6,3,38,,
052,2,6,1997,2022,6,2,10,,
052,2,7,1997,2022,6,0,0,,
052,2,8,1997,2022,6,0,0,,
052,2,9,1997,2022,6,3,32,,
052,2,10,1997,2022,6,2,12,,
052,2,11,1997,2022,6,2,22,,
052,2,12,1997,2022,6,1,7,,
052,2,13,1997,2022,6,1,2,,
052,2,15,1997,2022,6,0,0,,
052,2,17,1997,2022,6,1,8,,
052,2,18,1997,2022,6,2,11,,
052,2,19,1997,2022,6,0,0,,
052,2,23,1997,2022,6,2,34,,
052,2,24,1997,2022,6,0,0,,
052,2,25,1997,2022,6,0,0,,
052,2,26,1997,2022,6,1,2,,
052,3,1,1997,2022,6,0,0,,
052,3,2,1997,2022,6,0,0,,
052,3,3,1997,2022,6,0,0,,
052,3,4,1997,2022,6,0,0,,
052,3,5,1997,2022,6,0,0,,
052,3,6,1997,2022,6,0,0,,
052,3,7,1997,2022,6,2,14,,
052,3,8,1997,2022,6,2,13,,
052,3,9,1997,2022,6,1,3,,
052,3,10,1997,2022,6,0,0,,
052,3,11,1997,2022,6,1,5,,
052,3,12,1997,2022,6,0,0,,
052,3,13,1997,2022,6,1,7,,
052,3,14,1997,2022,6,2,15,,
052,3,15,1997,2022,6,0,0,,
052,3,16,1997,2022,6,0,0,,
052,3,17,1997,2022,6,0,0,,
052,3,18,1997,2022,6,0,0,,
052,3,19,1997,2022,6,0,0,,
052,3,20,1997,2022,6,0,0,,
052,3,21,1997,2022,6,0,0,,
052,3,22,1997,2022,6,2,22,,
052,3,24,1997,2022,6,0,0,,
052,3,25,1997,2022,6,0,0,,
052,3,26,1997,2022,6,0,0,,
052,4,1,1997,2022,6,3,32,,
052,4,2,1997,2022,6,1,6,,
052,4,3,1997,2022,6,2,13,,
052,4,5,1997,2022,6,0,0,,
052,4,6,1997,2022,6,0,0,,
052,4,7,1997,2022,6,1,6,,
052,4,8,1997,2022,6,1,5,,
052,4,9,1997,2022,6,0,0,,
052,4,10,1997,2022,6,1,4,,
052,4,12,1997,2022,6,1,5,,
052,4,13,1997,2022,6,0,0,,
052,4,15,1997,2022,6,0,0,,
052,4,17,1997,2022,6,2,23,,
052,4,18,1997,2022,6,0,0,,
052,4,19,1997,2022,6,1,5,,
052,4,21,1997,2022,6,0,0,,
052,4,22,1997,2022,6,1,2,,
052,4,23,1997,2022,6,2,12,,
052,4,25,1997,2022,6,2,14,,
052,4,26,1997,2022,6,1,4,,
052,5,1,1997,2022,6,2,12,,
052,5,5,1997,2022,6,0,0,,
052,5,7,1997,2022,6,2,20,,
052,5,8,1997,2022,6,1,14,,
052,5,9,1997,2022,6,0,0,,
052,5,10,1997,2022,6,2,22,,
052,5,11,1997,2022,6,0,0,,
052,5,12,1997,2022,6,0,0,,
052,5,13,1997,2022,6,1,4,,
052,5,15,1997,2022,6,1,8,,
052,5,17,1997,2022,6,0,0,,
052,5,18,1997,2022,6,1,6,,
052,5,20,1997,2022,6,0,0,,
052,5,21,1997,2022,6,0,0,,
052,5,22,1997,2022,6,0,0,,
052,5,24,1997,2022,6,0,0,,
052,5,25,1997,2022,6,0,0,,
052,5,26,1997,2022,6,2,27,,
052,6,1,1997,2022,6,1,10,,
052,6,2,1997,2022,6,2,24,,
052,6,3,1997,2022,6,1,3,,
052,6,6,1997,2022,6,0,0,,
052,6,9,1997,2022,6,0,0,,
052,6,10,1997,2022,6,0,0,,
052,6,11,1997,2022,6,2,28,,
052,6,12,1997,2022,6,2,14,,
052,6,13,1997,2022,6,1,10,,
052,6,14,1997,2022,6,1,4,,
052,6,15,1997,2022,6,0,0,,
052,6,16,1997,2022,6,1,13,,
052,6,19,1997,2022,6,0,0,,
052,6,20,1997,2022,6,0,0,,
052,6,21,1997,2022,6,1,5,,
052,6,23,1997,2022,6,1,5,,
052,6,24,1997,2022,6,0,0,,
052,6,25,1997,2022,6,1,4,,
052,8,1,1997,2022,6,1,5,,
052,8,3,1997,2022,6,1,10,,
052,8,6,1997,2022,6,0,0,,
052,8,7,1997,2022,6,0,0,,
052,8,8,1997,2022,6,0,0,,
052,8,9,1997,2022,6,1,10,,
052,8,10,1997,2022,6,1,10,,
052,8,11,1997,2022,6,1,3,,
052,8,12,1997,2022,6,2,10,,
052,8,13,1997,2022,6,0,0,,
052,8,14,1997,2022,6,0,0,,
052,8,15,1997,2022,6,1,14,,
052,8,16,1997,2022,6,0,0,,
052,8,17,1997,2022,6,0,0,,
052,8,18,1997,2022,6,0,0,,
052,8,19,1997,2022,6,1,6,,
052,8,20,1997,2022,6,1,4,,
052,8,21,1997,2022,6,1,5,,
052,8,22,1997,2022,6,0,0,,
052,8,24,1997,2022,6,0,0,,
052,8,25,1997,2022,6,0,0,,
052,8,26,1997,2022,6,1,8,,
052,9,1,1997,2022,6,0,0,,
052,9,3,1997,2022,6,1,5,,
052,9,7,1997,2022,6,0,0,,
