field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,
081,20,2,2002,2022,2,2,14,,
081,20,3,2002,2022,2,1,5,,
081,20,4,2002,2022,2,1,2,,
081,20,5,2002,2022,2,1,13,,
081,20,6,2002,2022,2,1,2,,
081,20,7,2002,2022,2,1,5,,
081,20,8,2002,2022,2,2,14,,
081,20,10,2002,2022,2,3,24,,
081,20,11,2002,2022,2,1,17,,
081,20,12,2002,2022,2,1,6,,
081,20,13,2002,2022,2,0,0,,
081,20,14,2002,2022,2,2,17,,
081,20,16,2002,2022,2,1,3,,
081,20,17,2002,2022,2,0,0,,
081,20,18,2002,2022,2,1,9,,
081,20,19,2002,2022,2,3,32,,
081,20,20,2002,2022,2,0,0,,
081,20,22,2002,2022,2,0,0,,
081,20,23,2002,2022,2,1,10,,
081,21,1,2002,2022,2,1,8,,
081,21,2,2002,2022,2,1,1,,
081,21,4,2002,2022,2,1,6,,
081,21,6,2002,2022,2,1,7,,
081,21,8,2002,2022,2,1,4,,
081,21,9,2002,2022,2,3,13,,
081,21,10,2002,2022,2,1,5,,
081,21,12,2002,2022,2,0,0,,
081,21,13,2002,2022,2,2,16,,
081,21,14,2002,2022,2,0,0,,
081,21,15,2002,2022,2,1,12,,
081,21,16,2002,2022,2,1,10,,
081,21,17,2002,2022,2,2,24,,
081,21,18,2002,2022,2,1,10,,
081,21,19,2002,2022,2,1,15,,
081,21,20,2002,2022,2,2,27,,
081,21,21,2002,2022,2,3,33,,
081,21,22,2002,2022,2,3,38,,
081,21,24,2002,2022,2,2,32,,
081,21,25,2002,2022,2,1,13,,
081,22,1,2002,2022,2,0,0,,
081,22,2,2002,2022,2,1,7,,
081,22,3,2002,2022,2,0,0,,
081,22,4,2002,2022,2,0,0,,
081,22,5,2002,2022,2,1,3,,
081,22,8,2002,2022,2,0,0,,
081,22,9,2002,2022,2,0,0,,
081,22,10,2002,2022,2,1,8,,
081,22,11,2002,2022,2,1,5,,
081,22,13,2002,2022,2,0,0,,
081,22,14,2002,2022,2,0,0,,
081,22,15,2002,2022,2,1,4,,
081,22,16,2002,2022,2,1,10,,
081,22,17,2002,2022,2,0,0,,
081,22,18,2002,2022,2,1,8,,
081,22,19,2002,2022,2,2,18,,
081,22,22,2002,2022,2,0,0,,
081,22,23,2002,2022,2,1,7,,
081,22,24,2002,2022,2,2,27,,
081,22,25,2002,2022,2,3,42,,
081,23,1,2002,2022,2,0,0,,
081,23,2,2002,2022,2,0,0,,
081,23,3,2002,2022,2,0,0,,
081,23,4,2002,2022,2,0,0,,
081,23,5,2002,2022,2,0,0,,
081,23,7,2002,2022,2,0,0,,
081,23,9,2002,2022,2,1,3,,
081,23,10,2002,2022,2,0,0,,
081,23,11,2002,2022,2,2,20,,
081,23,12,2002,2022,2,1,3,,
081,23,13,2002,2022,2,0,0,,
081,23,14,2002,2022,2,1,10,,
081,23,15,2002,2022,2,1,11,,
081,23,16,2002,2022,2,2,20,,
081,23,17,2002,2022,2,1,6,,
081,23,18,2002,2022,2,1,2,,
081,23,19,2002,2022,2,0,0,,
081,23,20,2002,2022,2,2,21,,
081,23,21,2002,2022,2,1,3,,
