field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr
095,1,1,2005,2022,1,2,20,
095,1,2,2005,2022,1,2,32,
095,1,3,2005,2022,1,2,21,
095,1,4,2005,2022,1,2,27,
095,1,6,2005,2022,1,2,31,
095,1,7,2005,2022,1,2,31,
095,1,8,2005,2022,1,2,20,
095,1,9,2005,2022,1,3,45,
095,1,10,2005,2022,1,1,3,
095,1,11,2005,2022,1,1,10,
095,1,12,2005,2022,1,2,15,
095,1,13,2005,2022,1,1,9,
095,1,15,2005,2022,1,1,15,
095,1,16,2005,2022,1,0,0,
095,1,17,2005,2022,1,1,11,
095,1,18,2005,2022,1,2,20,
095,1,19,2005,2022,1,1,3,
095,1,20,2005,2022,1,1,11,
095,1,22,2005,2022,1,0,0,
095,1,23,2005,2022,1,1,9,
095,1,24,2005,2022,1,1,11,
095,1,25,2005,2022,1,1,5,
095,2,1,2005,2022,1,3,22,
095,2,2,2005,2022,1,2,18,
095,2,3,2005,2022,1,2,14,
095,2,4,2005,2022,1,1,5,
095,2,5,2005,2022,1,1,11,
095,2,6,2005,2022,1,1,13,
095,2,7,2005,2022,1,2,16,
095,2,8,2005,2022,1,1,12,
095,2,9,2005,2022,1,1,15,
095,2,10,2005,2022,1,1,12,
095,2,11,2005,2022,1,1,8,
095,2,12,2005,2022,1,1,3,
095,2,13,2005,2022,1,0,0,
095,2,14,2005,2022,1,1,1,
095,2,15,2005,2022,1,0,0,
095,2,16,2005,2022,1,0,0,
095,2,17,2005,2022,1,1,10,
095,2,18,2005,2022,1,1,10,
095,2,19,2005,2022,1,2,16,
095,2,20,2005,2022,1,0,0,
095,2,21,2005,2022,1,0,0,
095,2,22,2005,2022,1,0,0,
095,2,23,2005,2022,1,0,0,
095,2,24,2005,2022,1,0,0,
095,2,25,2005,2022,1,1,2,
095,3,1,2005,2022,1,1,7,
095,3,2,2005,2022,1,1,5,
095,3,3,2005,2022,1,2,16,
095,3,4,2005,2022,1,3,27,
095,3,5,2005,2022,1,1,2,
095,3,6,2005,2022,1,1,12,
095,3,7,2005,2022,1,1,12,
095,3,8,2005,2022,1,0,0,
095,3,9,2005,2022,1,0,0,
095,3,10,2005,2022,1,3,37,
095,3,11,2005,2022,1,0,0,
095,3,12,2005,2022,1,1,6,
095,3,13,2005,2022,1,1,4,
095,3,14,2005,2022,1,0,0,
095,3,15,2005,2022,1,2,22,
095,3,16,2005,2022,1,0,0,
095,3,17,2005,2022,1,1,11,
095,3,18,2005,2022,1,1,5,
095,3,19,2005,2022,1,1,7,
095,3,20,2005,2022,1,2,23,
095,3,22,2005,2022,1,1,9,
095,3,23,2005,2022,1,3,28,
095,3,24,2005,2022,1,1,7,
095,3,25,2005,2022,1,3,27,
095,4,1,2005,2022,1,1,9,
095,4,2,2005,2022,1,1,6,
095,4,3,2005,2022,1,0,0,
095,4,4,2005,2022,1,2,20,
095,4,7,2005,2022,1,0,0,
095,4,8,2005,2022,1,0,0,
095,4,9,2005,2022,1,2,35,
095,4,10,2005,2022,1,3,38,
095,4,11,2005,2022,1,1,11,
095,4,12,2005,2022,1,2,23,
095,4,13,2005,2022,1,2,23,
095,4,14,2005,2022,1,1,3,
095,4,15,2005,2022,1,2,32,
095,4,16,2005,2022,1,2,20,
095,4,17,2005,2022,1,1,2,
095,4,18,2005,2022,1,1,2,
095,4,19,2005,2022,1,3,37,
095,4,20,2005,2022,1,2,14,
095,4,21,2005,2022,1,2,20,
095,4,22,2005,2022,1,2,22,
095,4,23,2005,2022,1,1,12,
095,4,24,2005,2022,1,1,12,
095,4,25,2005,2022,1,0,0,
095,5,1,2005,2022,1,0,0,
095,5,2,2005,2022,1,0,0,
095,5,3,2005,2022,1,2,13,
095,5,4,2005,2022,1,1,8,
095,5,5,2005,2022,1,1,6,
095,5,6,2005,2022,1,1,1,
095,5,7,2005,2022,1,4,47,
095,5,8,2005,2022,1,3,32,
095,5,9,2005,2022,1,4,50,
095,5,10,2005,2022,1,2,26,
095,5,11,2005,2022,1,2,18,
095,5,12,2005,2022,1,2,20,
095,5,13,2005,2022,1,0,0,
095,5,14,2005,2022,1,0,0,
095,5,15,2005,2022,1,0,0,
095,5,16,2005,2022,1,1,3,
095,5,19,2005,2022,1,1,2,
095,5,20,2005,2022,1,2,16,
095,5,21,2005,2022,1,2,15,
095,5,22,2005,2022,1,0,0,
095,5,23,2005,2022,1,2,18,
095,5,25,2005,2022,1,0,0,
095,5,26,2005,2022,1,0,0,
095,6,1,2005,2022,1,2,13,
095,6,2,2005,2022,1,1,7,
095,6,3,2005,2022,1,1,6,
095,6,4,2005,2022,1,2,18,
095,6,5,2005,2022,1,2,10,
095,6,6,2005,2022,1,0,0,
095,6,7,2005,2022,1,4,53,
095,6,8,2005,2022,1,4,44,
095,6,9,2005,2022,1,2,27,
095,6,10,2005,2022,1,0,0,
095,6,11,2005,2022,1,0,0,
095,6,12,2005,2022,1,2,10,
095,6,13,2005,2022,1,1,9,
095,6,14,2005,2022,1,0,0,
095,6,15,2005,2022,1,1,6,
095,6,16,2005,2022,1,1,7,
095,6,17,2005,2022,1,1,7,
095,6,19,2005,2022,1,1,1,
095,6,20,2005,2022,1,0,0,
095,6,22,2005,2022,1,0,0,
095,6,24,2005,2022,1,1,2,
095,6,25,2005,2022,1,1,2,
095,6,26,2005,2022,1,1,6,
095,7,2,2005,2022,1,2,19,
095,7,3,2005,2022,1,2,12,
095,7,4,2005,2022,1,2,12,
095,7,5,2005,2022,1,2,16,
095,7,6,2005,2022,1,0,0,
095,7,7,2005,2022,1,2,13,
095,7,8,2005,2022,1,1,8,
095,7,9,2005,2022,1,2,12,
095,7,10,2005,2022,1,2,26,
095,7,11,2005,2022,1,1,2,
095,7,12,2005,2022,1,0,0,
095,7,13,2005,2022,1,0,0,
095,7,14,2005,2022,1,0,0,
095,7,15,2005,2022,1,1,1,
095,7,16,2005,2022,1,0,0,
095,7,17,2005,2022,1,2,15,
095,7,18,2005,2022,1,0,0,
095,7,19,2005,2022,1,1,3,
095,7,20,2005,2022,1,0,0,
095,7,21,2005,2022,1,2,19,
095,7,22,2005,2022,1,3,30,
095,7,23,2005,2022,1,0,0,
095,7,24,2005,2022,1,0,0,
095,7,25,2005,2022,1,0,0,
095,7,26,2005,2022,1,1,2,
095,8,1,2005,2022,1,1,8,
095,8,2,2005,2022,1,2,16,
095,8,3,2005,2022,1,2,10,
095,8,4,2005,2022,1,1,5,
095,8,5,2005,2022,1,3,39,
095,8,6,2005,2022,1,3,37,
095,8,7,2005,2022,1,3,35,
095,8,8,2005,2022,1,1,5,
095,8,9,2005,2022,1,2,26,
095,8,10,2005,2022,1,0,0,
095,8,11,2005,2022,1,2,23,
095,8,12,2005,2022,1,0,0,
095,8,13,2005,2022,1,0,0,
095,8,14,2005,2022,1,0,0,
095,8,15,2005,2022,1,2,18,
095,8,16,2005,2022,1,0,0,
095,8,17,2005,2022,1,1,6,
095,8,18,2005,2022,1,2,18,
095,8,19,2005,2022,1,0,0,
095,8,20,2005,2022,1,0,0,
095,8,21,2005,2022,1,2,22,
095,8,22,2005,2022,1,0,0,
095,8,23,2005,2022,1,3,37,
095,8,24,2005,2022,1,1,1,
095,8,25,2005,2022,1,0,0,
095,8,26,2005,2022,1,0,0,
095,9,1,2005,2022,1,0,0,
095,9,2,2005,2022,1,2,31,
095,9,3,2005,2022,1,0,0,
095,9,5,2005,2022,1,0,0,
095,9,6,2005,2022,1,2,16,
095,9,8,2005,2022,1,2,22,
095,9,9,2005,2022,1,2,25,
095,9,10,2005,2022,1,2,23,
095,9,11,2005,2022,1,3,34,
095,9,12,2005,2022,1,1,7,
095,9,13,2005,2022,1,0,0,
095,9,14,2005,2022,1,2,20,
095,9,15,2005,2022,1,2,30,
095,9,16,2005,2022,1,3,42,
095,9,18,2005,2022,1,1,5,
095,9,19,2005,2022,1,3,32,
095,9,20,2005,2022,1,3,32,
095,9,21,2005,2022,1,0,0,
095,9,22,2005,2022,1,2,20,
095,9,23,2005,2022,1,0,0,
095,9,24,2005,2022,1,1,6,
095,10,1,2005,2022,1,3,38,
095,10,2,2005,2022,1,2,20,
095,10,3,2005,2022,1,1,3,
095,10,4,2005,2022,1,1,4,
095,10,5,2005,2022,1,2,20,
095,10,6,2005,2022,1,3,58,
095,10,7,2005,2022,1,3,52,
095,10,8,2005,2022,1,1,8,
095,10,10,2005,2022,1,1,9,
095,10,11,2005,2022,1,2,24,
095,10,12,2005,2022,1,3,33,
095,10,13,2005,2022,1,2,18,
095,10,14,2005,2022,1,3,31,
095,10,15,2005,2022,1,3,37,
095,10,16,2005,2022,1,1,7,
095,10,17,2005,2022,1,2,20,
